Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0013-1.tif (RGB),P42-65 V2,red channel puncta,2428,24.82660626,102.6091433,165.9728171,129.6802162,green channel puncta,3900,8.261282051,82.31564103,140.5941026,106.2921039,blue channel puncta,-,-,-,-,-,colocalized puncta,873,28.38487973,91.99312715,164.0927835,122.0846967
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0013-2.tif (RGB),P42-65 V2,red channel puncta,2215,23.08081264,103.6568849,164.0595937,128.9366725,green channel puncta,2571,7.268767017,93.01555815,149.772851,117.3026432,blue channel puncta,-,-,-,-,-,colocalized puncta,494,25.83906883,98.09109312,167.2692308,127.2852529
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0013-3.tif (RGB),P42-65 V2,red channel puncta,2233,25.61934617,93.13793103,154.6623377,117.6848357,green channel puncta,3736,8.711991435,83.61563169,136.1263383,104.9372172,blue channel puncta,-,-,-,-,-,colocalized puncta,834,31.29136691,88.00959233,157.9724221,115.9940331
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0013-4.tif (RGB),P42-65 V2,red channel puncta,2009,26.55550025,89.91338975,151.2951717,113.8219258,green channel puncta,2960,8.776013514,92.69324324,144.8219595,114.3226817,blue channel puncta,-,-,-,-,-,colocalized puncta,624,32.30448718,90.79887821,162.349359,118.5497621
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0013-5.tif (RGB),P42-65 V2,red channel puncta,2020,26.72871287,75.98564356,135.2351485,98.19500723,green channel puncta,3638,9.720725673,89.86118747,152.348818,115.6905159,blue channel puncta,-,-,-,-,-,colocalized puncta,867,34.24971165,81.9988466,159.4359862,111.328739
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0014-1.tif (RGB),P42-65 V2,red channel puncta,2283,20.46561542,78.55059133,138.3889619,101.9160322,green channel puncta,4067,8.981313007,76.44947135,130.4379149,98.25626221,blue channel puncta,-,-,-,-,-,colocalized puncta,865,23.73352601,77.24855491,149.1040462,105.1288037
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0014-2.tif (RGB),P42-65 V2,red channel puncta,2231,20.06723442,76.56207978,133.5217391,98.60927969,green channel puncta,3670,8.325613079,80.71689373,133.7841962,102.4842512,blue channel puncta,-,-,-,-,-,colocalized puncta,724,20.97168508,78.33770718,146.230663,104.768928
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0014-3.tif (RGB),P42-65 V2,red channel puncta,1953,19.43676395,76.50998464,131.3763441,97.59674555,green channel puncta,3865,9.046571798,81.38137128,134.7316947,102.8067295,blue channel puncta,-,-,-,-,-,colocalized puncta,665,22.94962406,78.87593985,147.1541353,104.8284113
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0014-4.tif (RGB),P42-65 V2,red channel puncta,1930,19.2119171,74.32849741,127.1450777,94.69466109,green channel puncta,4216,9.461100569,83.08277989,134.2044592,103.5168011,blue channel puncta,-,-,-,-,-,colocalized puncta,753,23.06308101,78.24169987,144.187251,103.2053566
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0014-5.tif (RGB),P42-65 V2,red channel puncta,1624,20.74199507,71.84729064,124.5012315,91.92751872,green channel puncta,2725,8.600366972,101.7115596,152.6866055,123.2880033,blue channel puncta,-,-,-,-,-,colocalized puncta,402,22.60199005,86.71641791,151.9838308,112.2528173
